City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Tosya,TR,57.45,broken clouds,41.0155,34.0401,Galeri Basri
381,College,US,40.59,mist,64.8569,-147.8028,Pike's Waterfront Lodge
384,Faya,SA,64.51,clear sky,18.3851,42.4509,شيلة نسايم
388,Jakar,BT,55.04,overcast clouds,27.5492,90.7525,Wangchuk Lodge Bumthang དབང་ཕྱུག་ཟ་ཁང་ བུམ་ཐང་།
392,Kajaani,FI,44.65,overcast clouds,64.2273,27.7285,Original Sokos Hotel Valjus
399,Okha,RU,47.59,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
402,Horsham,GB,57.25,clear sky,51.064,-0.3272,Springfields Hotel
403,Adwa,ET,66.33,broken clouds,14.1646,38.8955,Maay Assa Hotel
405,Nenjiang,CN,39.67,light rain,49.1833,125.2167,Nenjiang Apartment
408,Cocal,BR,66.88,few clouds,-28.6167,-49.35,Motel Tropical
411,Fort Nelson,CA,58.59,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
412,Ntungamo,UG,64.02,overcast clouds,-0.8833,29.65,The Crested Crane Bwindi Hotel
413,Zandvoort,NL,57.99,few clouds,52.3749,4.5341,Pension Zandvoort aan Zee
414,Kushiro,JP,58.55,overcast clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
415,Erzurum,TR,47.88,overcast clouds,40.0,41.5,Saksi Koyu Muhtarligi
417,Launceston,AU,42.15,mist,-41.45,147.1667,Hotel Grand Chancellor Launceston
421,Penzance,GB,54.28,broken clouds,50.1186,-5.5371,Artist Residence Penzance
424,Berlevag,NO,40.95,overcast clouds,70.8578,29.0864,Kvitbrakka
430,Bethel,US,56.48,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
433,Bereda,ES,61.57,overcast clouds,43.2686,-7.5406,Pazo de Verdes
436,Margate,GB,53.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
437,Vestmannaeyjar,IS,50.45,overcast clouds,63.4427,-20.2734,Glamping & Camping
438,Komsomolskiy,UZ,59.72,clear sky,40.4272,71.7189,Ikathouse
441,Tsuruoka,JP,63.27,overcast clouds,38.7217,139.8217,Hotel Route-Inn Tsuruoka Inter
442,Clyde River,CA,30.43,overcast clouds,70.4692,-68.5914,Qamaq Hotel
444,Ginir,ET,61.21,broken clouds,7.1333,40.7,Sura Dare Village
445,Zonguldak,TR,54.79,light rain,41.25,31.8333,Yazioren Koyu Muhtarligi
447,Vigrestad,NO,55.58,clear sky,58.5667,5.7,Brusand Camping
448,Belyy Yar,RU,25.86,clear sky,53.6039,91.3903,Pasportnyy Stol
450,Rawson,AR,53.22,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
451,Nagorsk,RU,53.78,overcast clouds,59.3172,50.8078,Uyutnyy Dom
452,Kemijarvi,FI,43.77,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
455,Kuryk,KZ,63.79,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
456,Pavlodar,KZ,24.6,clear sky,52.3,76.95,Sary Arka
457,Karpogory,RU,42.21,overcast clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
465,Havre-Saint-Pierre,CA,52.16,few clouds,50.2334,-63.5986,Auberge Niapiskau 2
472,Hualmay,PE,67.23,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
476,Dronten,NL,56.05,overcast clouds,52.5,5.7167,Hotel Het Galjoen
480,Parati,BR,68.9,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
481,Anadyr,RU,23.5,scattered clouds,64.75,177.4833,Отке17.ру — жильё для командированных
483,Ahipara,NZ,59.85,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
